subject,trial,condition,word,ink,rt,accuracy
2,1,congruent,RED,red,439.1006446726047,1
2,2,congruent,RED,red,596.5692879103037,1
2,3,congruent,RED,red,535.8023866209035,1
2,4,congruent,BLUE,blue,572.3369006855022,1
2,5,congruent,YELLOW,yellow,473.37675543246826,1
2,6,congruent,YELLOW,yellow,621.6079026920778,1
2,7,congruent,RED,red,412.65195871066675,1
2,8,congruent,YELLOW,yellow,468.66431016964845,1
2,9,congruent,BLUE,blue,414.5156210753525,1
2,10,congruent,BLUE,blue,444.90375265620855,1
2,11,congruent,BLUE,blue,563.0116243895798,1
2,12,congruent,YELLOW,yellow,478.04000856461516,1
2,13,congruent,GREEN,green,520.7041417542151,1
2,14,congruent,RED,red,688.6742157335324,1
2,15,congruent,BLUE,blue,550.3064183829435,1
2,16,congruent,YELLOW,yellow,511.6814053317443,1
2,17,congruent,YELLOW,yellow,574.6707585081211,1
2,18,congruent,YELLOW,yellow,507.1841976148306,1
2,19,congruent,GREEN,green,451.92893977825145,1
2,20,congruent,RED,red,590.8098276369607,1
2,21,congruent,GREEN,green,510.1923374939348,1
2,22,congruent,RED,red,548.4969247775663,1
2,23,congruent,GREEN,green,523.2749424110377,1
2,24,congruent,BLUE,blue,513.1247407256952,1
2,25,congruent,YELLOW,yellow,526.2448471855096,0
2,26,congruent,RED,red,388.80295216266086,1
2,27,congruent,BLUE,blue,539.0105503317127,1
2,28,congruent,BLUE,blue,415.6689612850395,1
2,29,congruent,RED,red,497.28230905996895,1
2,30,congruent,BLUE,blue,499.8205169412516,1
2,31,congruent,YELLOW,yellow,475.1950638496125,0
2,32,congruent,RED,red,384.43123357033556,1
2,33,congruent,BLUE,blue,641.0506732814521,1
2,34,congruent,GREEN,green,487.3459995282463,1
2,35,congruent,BLUE,blue,357.7914101924507,0
2,36,congruent,GREEN,green,420.7580821189539,1
2,37,congruent,GREEN,green,569.0378768666817,1
2,38,congruent,BLUE,blue,555.1697469704544,1
2,39,congruent,BLUE,blue,455.482959243705,1
2,40,congruent,BLUE,blue,534.8288214339643,1
2,41,congruent,RED,red,578.3771451379174,1
2,42,congruent,GREEN,green,532.0991624604453,1
2,43,congruent,RED,red,447.9509163860969,1
2,44,congruent,GREEN,green,557.4055076204368,1
2,45,congruent,BLUE,blue,450.4827730953917,1
2,46,congruent,BLUE,blue,494.80600138082855,0
2,47,congruent,YELLOW,yellow,560.5265842788936,1
2,48,congruent,BLUE,blue,418.86163881424847,1
2,49,congruent,BLUE,blue,444.63433436383326,1
2,50,congruent,GREEN,green,436.2277718882633,1
2,51,congruent,BLUE,blue,471.24227403397197,1
2,52,congruent,GREEN,green,363.85880039554866,1
2,53,congruent,GREEN,green,513.8487001031573,1
2,54,congruent,YELLOW,yellow,593.1884090144754,1
2,55,congruent,GREEN,green,508.5084325521208,1
2,56,congruent,RED,red,530.3661582238296,0
2,57,congruent,RED,red,462.9499996873408,1
2,58,congruent,BLUE,blue,429.2356435856602,1
2,59,congruent,BLUE,blue,491.79567945531016,1
2,60,congruent,RED,red,434.1428583749773,1
2,61,congruent,RED,red,412.8630427463953,1
2,62,congruent,GREEN,green,490.1990929690269,1
2,63,congruent,GREEN,green,446.3360811585843,1
2,64,congruent,RED,red,422.2348398528734,1
2,65,congruent,BLUE,blue,419.3015401975291,1
2,66,congruent,RED,red,599.5928817082121,1
2,67,congruent,RED,red,554.48566865917,1
2,68,congruent,BLUE,blue,489.6555885034123,1
2,69,congruent,YELLOW,yellow,415.18014457464744,1
2,70,congruent,BLUE,blue,502.89513762178416,1
2,71,congruent,YELLOW,yellow,523.6711613435742,1
2,72,congruent,BLUE,blue,372.6288627191373,1
2,73,congruent,RED,red,438.718938612383,1
