subject,trial,condition,word,ink,rt,accuracy
22,1,congruent,BLUE,blue,554.141106631593,1
22,2,congruent,YELLOW,yellow,475.8064052164087,1
22,3,congruent,RED,red,493.50537633680744,1
22,4,congruent,GREEN,green,476.46215509196577,1
22,5,congruent,BLUE,blue,489.36961315567817,1
22,6,congruent,RED,red,448.8744786404325,1
22,7,congruent,GREEN,green,462.7676164162979,1
22,8,congruent,YELLOW,yellow,468.89463620636866,1
22,9,congruent,BLUE,blue,581.0865052948141,1
22,10,congruent,BLUE,blue,391.86458504134424,1
22,11,congruent,GREEN,green,556.9673963227469,1
22,12,congruent,YELLOW,yellow,493.6178881839089,1
22,13,congruent,RED,red,561.6921837048953,1
22,14,congruent,BLUE,blue,499.7896941813493,1
22,15,congruent,BLUE,blue,342.4542721618313,1
22,16,congruent,BLUE,blue,370.7537610983536,1
22,17,congruent,YELLOW,yellow,421.36433429475557,1
22,18,congruent,BLUE,blue,498.52219146708387,1
22,19,congruent,RED,red,504.5019047335353,1
22,20,congruent,YELLOW,yellow,470.701970030763,1
22,21,congruent,YELLOW,yellow,469.3143914762976,1
22,22,congruent,GREEN,green,516.843285848387,1
22,23,congruent,RED,red,396.7556668399607,1
22,24,congruent,RED,red,455.4601069872978,1
22,25,congruent,GREEN,green,404.04100943140907,0
22,26,congruent,BLUE,blue,610.8345687304247,1
22,27,congruent,RED,red,335.02722472382,1
22,28,congruent,BLUE,blue,339.98430093962736,1
22,29,congruent,GREEN,green,366.9354796900135,1
22,30,congruent,GREEN,green,493.21454878121835,1
22,31,congruent,YELLOW,yellow,497.7193894572741,1
22,32,congruent,BLUE,blue,460.30538647513845,1
22,33,congruent,BLUE,blue,454.3643329940288,1
22,34,congruent,YELLOW,yellow,548.4485109403386,1
22,35,congruent,RED,red,395.51006769121267,1
22,36,congruent,YELLOW,yellow,494.15379188342826,1
22,37,congruent,GREEN,green,488.729026539276,1
22,38,congruent,YELLOW,yellow,443.7514118530361,1
22,39,congruent,BLUE,blue,516.8682247682888,1
22,40,congruent,YELLOW,yellow,563.7603470530474,1
22,41,congruent,GREEN,green,459.08396445735366,1
22,42,congruent,GREEN,green,442.7264606504103,1
22,43,congruent,YELLOW,yellow,655.0954608045251,1
22,44,congruent,RED,red,487.14444111881386,1
22,45,congruent,BLUE,blue,277.11038316613065,1
22,46,congruent,GREEN,green,544.6135210787825,1
22,47,congruent,BLUE,blue,566.6054008369138,1
22,48,congruent,GREEN,green,487.2812609732894,1
22,49,congruent,BLUE,blue,609.5738929052698,1
22,50,congruent,YELLOW,yellow,456.0010665046788,1
22,51,congruent,GREEN,green,508.52975142111245,1
22,52,congruent,YELLOW,yellow,420.5316985742675,1
22,53,congruent,RED,red,476.9279476149951,1
22,54,congruent,YELLOW,yellow,427.4488304253168,1
22,55,congruent,RED,red,366.66757511994,1
22,56,congruent,YELLOW,yellow,496.26771111540677,1
22,57,congruent,YELLOW,yellow,368.4708822679844,1
22,58,congruent,RED,red,490.6311948046471,1
22,59,congruent,BLUE,blue,591.6977546750863,1
22,60,congruent,RED,red,462.8049969542401,1
22,61,congruent,YELLOW,yellow,324.7331601822635,0
22,62,congruent,GREEN,green,480.8927586158682,1
22,63,congruent,RED,red,475.54837550599194,1
22,64,congruent,GREEN,green,435.5816624297005,1
22,65,congruent,RED,red,647.8516204470268,1
22,66,congruent,YELLOW,yellow,446.3213270789575,1
22,67,congruent,BLUE,blue,628.6488896365091,1
22,68,congruent,GREEN,green,461.7990422939312,1
22,69,congruent,RED,red,506.2202822209442,1
22,70,congruent,YELLOW,yellow,486.44698670019767,1
22,71,congruent,GREEN,green,455.5483619779689,1
22,72,congruent,BLUE,blue,430.76196751659296,1
22,73,congruent,RED,red,435.8306409960137,1
22,74,congruent,RED,red,435.5712426288797,1
22,75,congruent,RED,red,522.8564886148677,1
22,76,congruent,RED,red,471.33092469396234,0
22,77,congruent,YELLOW,yellow,482.34621743445337,1
22,78,congruent,YELLOW,yellow,498.91173520755973,1
22,79,congruent,BLUE,blue,495.6531254038141,1
22,80,congruent,GREEN,green,406.4339279502467,1
22,81,congruent,BLUE,blue,489.429973652065,1
22,82,congruent,BLUE,blue,443.52665370715135,1
22,83,congruent,YELLOW,yellow,491.11330726121514,1
22,84,congruent,GREEN,green,435.0700423763509,1
22,85,congruent,GREEN,green,472.1170784890935,1
22,86,congruent,BLUE,blue,484.840282244955,1
22,87,congruent,YELLOW,yellow,697.728652142106,1
22,88,congruent,GREEN,green,356.4437609905606,1
22,89,congruent,GREEN,green,511.3460917048301,1
