subject,trial,condition,word,ink,rt,accuracy
6,1,congruent,BLUE,blue,515.7239821248016,1
6,2,congruent,GREEN,green,552.0090550933811,1
6,3,congruent,BLUE,blue,553.6803350321595,1
6,4,congruent,RED,red,397.26737878942174,1
6,5,congruent,RED,red,337.9112333768376,1
6,6,congruent,RED,red,676.426085149666,1
6,7,congruent,YELLOW,yellow,518.5111943928933,1
6,8,congruent,YELLOW,yellow,530.0513808147846,1
6,9,congruent,RED,red,404.5625185361519,0
6,10,congruent,BLUE,blue,590.6039873448067,1
6,11,congruent,YELLOW,yellow,647.1581435961318,1
6,12,congruent,YELLOW,yellow,622.2296083638722,1
6,13,congruent,YELLOW,yellow,338.10983817937927,1
6,14,congruent,YELLOW,yellow,416.75936010933657,1
6,15,congruent,BLUE,blue,507.8233281432416,1
6,16,congruent,YELLOW,yellow,555.7472639508554,1
6,17,congruent,YELLOW,yellow,456.488918671192,1
6,18,congruent,YELLOW,yellow,431.3160558444782,1
6,19,congruent,BLUE,blue,518.3828749068674,0
6,20,congruent,RED,red,424.5885478713978,1
6,21,congruent,GREEN,green,663.4803441683482,1
6,22,congruent,RED,red,353.960368008013,0
6,23,congruent,GREEN,green,540.7033765920091,1
6,24,congruent,BLUE,blue,340.29382346158684,1
6,25,congruent,RED,red,460.4541666249667,1
6,26,congruent,RED,red,618.7469827326095,1
6,27,congruent,YELLOW,yellow,589.7414859457151,1
6,28,congruent,YELLOW,yellow,388.01114815200634,1
6,29,congruent,GREEN,green,381.9121570964362,1
6,30,congruent,GREEN,green,504.6484671792619,1
6,31,congruent,GREEN,green,423.76186890029885,1
6,32,congruent,GREEN,green,532.4616091862924,1
6,33,congruent,YELLOW,yellow,421.2849212883842,1
6,34,congruent,RED,red,371.1901587224086,1
6,35,congruent,BLUE,blue,465.5864985682539,1
6,36,congruent,RED,red,402.0631493762627,1
6,37,congruent,YELLOW,yellow,586.9313573857683,1
6,38,congruent,GREEN,green,473.2155535695086,1
6,39,congruent,YELLOW,yellow,496.97274368799594,1
6,40,congruent,BLUE,blue,610.4473063913977,1
6,41,congruent,YELLOW,yellow,648.6256993933534,1
6,42,congruent,RED,red,495.76398257499835,1
6,43,congruent,YELLOW,yellow,526.6668960623986,1
6,44,congruent,RED,red,604.7278145629125,1
6,45,congruent,RED,red,486.043020412268,1
6,46,congruent,BLUE,blue,416.5099307914235,1
6,47,congruent,BLUE,blue,579.5360292929238,1
6,48,congruent,BLUE,blue,378.0292368296134,1
6,49,congruent,BLUE,blue,480.3797496680148,1
6,50,congruent,RED,red,467.8275937741229,1
6,51,congruent,GREEN,green,458.1804530905843,1
6,52,congruent,YELLOW,yellow,279.7112996680746,1
6,53,congruent,YELLOW,yellow,453.04798062341376,1
6,54,congruent,GREEN,green,601.3050344580764,1
6,55,congruent,BLUE,blue,462.4903475973374,1
6,56,congruent,GREEN,green,450.47654518336486,1
