subject,trial,condition,word,ink,rt,accuracy
16,1,congruent,GREEN,green,404.44119081390073,1
16,2,congruent,YELLOW,yellow,455.3424868165702,1
16,3,congruent,YELLOW,yellow,635.7808132467947,1
16,4,congruent,YELLOW,yellow,562.4906082785704,1
16,5,congruent,BLUE,blue,503.26856941099425,1
16,6,congruent,GREEN,green,474.3139755816584,1
16,7,congruent,YELLOW,yellow,503.91858482241446,1
16,8,congruent,GREEN,green,366.32924421502116,1
16,9,congruent,BLUE,blue,558.6802521156968,1
16,10,congruent,YELLOW,yellow,636.0808130995119,1
16,11,congruent,RED,red,408.33261992291926,1
16,12,congruent,BLUE,blue,533.934761137835,1
16,13,congruent,YELLOW,yellow,550.5340081713566,1
16,14,congruent,RED,red,415.3365139343137,1
16,15,congruent,GREEN,green,637.4663708011383,1
16,16,congruent,RED,red,511.8454653964618,1
16,17,congruent,YELLOW,yellow,529.6622386354217,1
16,18,congruent,BLUE,blue,348.01945508176846,1
16,19,congruent,BLUE,blue,556.0238209791942,1
16,20,congruent,RED,red,607.2442104894826,1
16,21,congruent,RED,red,530.9539172021592,1
16,22,congruent,BLUE,blue,394.58760701380976,1
16,23,congruent,BLUE,blue,469.2388677039346,1
16,24,congruent,GREEN,green,415.76720283686086,1
16,25,congruent,RED,red,427.71988077529176,1
16,26,congruent,YELLOW,yellow,628.0610227660553,1
16,27,congruent,GREEN,green,527.4911192140462,1
16,28,congruent,BLUE,blue,525.1354381032088,1
16,29,congruent,GREEN,green,392.5700745567375,1
16,30,congruent,BLUE,blue,473.1035645567847,1
16,31,congruent,GREEN,green,489.84792066974495,1
16,32,congruent,RED,red,404.20172494205616,1
16,33,congruent,GREEN,green,551.0478110718055,1
16,34,congruent,YELLOW,yellow,419.2051842106116,1
16,35,congruent,YELLOW,yellow,499.9448018412096,1
16,36,congruent,GREEN,green,426.292844884739,1
16,37,congruent,BLUE,blue,595.1663529104798,1
16,38,congruent,GREEN,green,483.22637036486185,1
16,39,congruent,YELLOW,yellow,425.4814985692656,1
16,40,congruent,BLUE,blue,491.67977412860654,1
16,41,congruent,YELLOW,yellow,578.0832591972242,1
16,42,congruent,RED,red,532.3723997993654,1
16,43,congruent,GREEN,green,482.92251040206435,1
16,44,congruent,BLUE,blue,470.1396360631479,1
16,45,congruent,GREEN,green,503.1975825441505,1
16,46,congruent,RED,red,569.5725400416022,1
16,47,congruent,BLUE,blue,486.23474217311883,1
16,48,congruent,GREEN,green,395.5958435037111,1
16,49,congruent,RED,red,595.61775754707,1
16,50,congruent,GREEN,green,448.2258242349125,1
16,51,congruent,RED,red,551.3265714570294,1
16,52,congruent,RED,red,538.877169915171,1
16,53,congruent,YELLOW,yellow,407.31791664861174,1
16,54,congruent,RED,red,598.1534888003592,1
16,55,congruent,RED,red,498.4527815543589,1
16,56,congruent,RED,red,453.69202627196137,1
16,57,congruent,RED,red,469.71868808829726,1
16,58,congruent,BLUE,blue,432.7224446661858,1
16,59,congruent,GREEN,green,613.6761330062008,1
16,60,congruent,GREEN,green,492.8799214337822,1
16,61,congruent,RED,red,531.9554693811708,1
16,62,congruent,RED,red,573.4462488812775,1
16,63,congruent,RED,red,528.0896222409084,1
16,64,congruent,GREEN,green,346.81851527105533,1
16,65,congruent,GREEN,green,543.9857287831613,1
16,66,congruent,YELLOW,yellow,453.2689631828277,1
16,67,congruent,GREEN,green,395.9786306528778,1
16,68,congruent,BLUE,blue,434.20093306699715,1
16,69,congruent,RED,red,461.5919879729981,0
16,70,congruent,GREEN,green,440.72917477488335,1
16,71,congruent,GREEN,green,484.83068197254704,1
16,72,congruent,RED,red,617.4235634762633,1
16,73,congruent,GREEN,green,647.9158089118127,1
